id,species1,species2,species3
sample_1,0.962512430862441,0.0373156037989449,0.000171965338613599
sample_2,0.0865909238216076,0.913404662850777,4.41332761549449e-06
sample_3,0.988606565479012,0.000278327031487787,0.0111151074895005
sample_4,0.293543874562563,0.706434697239129,2.14281983081362e-05
sample_5,0.393325926122933,0.606644771691545,2.93021855220408e-05
sample_6,0.00173621721847887,3.51297179672847e-08,0.998263747651803
sample_7,0.725339108570636,0.274573744649903,8.71467794611993e-05
sample_8,0.107866756278675,3.75266449866445e-06,0.892129491056827
sample_9,0.00669257169970575,0.99330713309146,2.95208834336829e-07
sample_10,0.000898712839595651,0.999101238837583,4.83228217837461e-08
sample_11,0.000491757929388023,1.13624782396958e-08,0.999508230708134
sample_12,0.0108470072870514,0.989152352455998,6.40256950844782e-07
sample_13,0.310307230669011,1.0519078637291e-05,0.689682250252351
sample_14,0.991656436510374,0.000382156487053566,0.00796140700257257
sample_15,0.983522921598298,0.0153670030857523,0.00111007531594954
sample_16,0.982730152708261,0.000176453730470732,0.017093393561268
sample_17,0.00444111233612899,1.02053376311071e-07,0.995558785610495
sample_18,0.311417875162605,9.65949955322695e-06,0.688572465337842
sample_19,0.0442142406382692,0.955783623453785,2.13590794564459e-06
sample_20,0.974357072231333,0.0254397403490658,0.000203187419600706
sample_21,0.00459291618131788,0.995406878349915,2.05468767543205e-07
sample_22,0.0010820771623544,2.2397565462933e-08,0.99891790044008
sample_23,0.000572039890237597,1.27625064883943e-08,0.999427947347256
sample_24,0.00174608069004848,4.56752934896931e-08,0.998253873634658
sample_25,0.00357522561885879,6.84164555431832e-08,0.996424705964685
sample_26,0.996503204043644,0.000754375594637254,0.00274242036171909
sample_27,0.0100556812659705,0.989943543731893,7.75002136797635e-07
sample_28,0.996172697147304,0.00301419738211417,0.000813105470581583
sample_29,0.000565205595447674,0.999434753449922,4.09546300797732e-08
sample_30,0.156920191941022,0.843058964451695,2.08436072825417e-05
sample_31,0.991853742050012,0.000295204649622501,0.00785105330036521
sample_32,0.991951982988772,0.00127172168107693,0.00677629533015071
sample_33,0.975858150722669,0.0239334565386126,0.000208392738718743
sample_34,0.00245014104487087,0.997549740008069,1.18947060294884e-07
sample_35,0.294279683963606,9.44471629293987e-06,0.705710871320101
sample_36,0.00146836742008859,3.12746533318024e-08,0.998531601305258
sample_37,0.00633884940707854,0.99366086995303,2.80639891912736e-07
sample_38,0.00262045744668057,5.78082255197804e-08,0.997379484745094
sample_39,0.990140611699679,0.000260001324739216,0.00959938697558182
sample_40,0.996683466325741,0.00236873485513137,0.000947798819127624
sample_41,0.00139835888246797,2.74418695273786e-08,0.998601613675662
sample_42,0.049274664705487,0.950723065057956,2.2702365565716e-06
sample_43,0.258953556447355,0.741030129425127,1.63141275185461e-05
sample_44,0.943286149795138,8.87951341729828e-05,0.0566250550706887
sample_45,0.000452098072731175,1.08796920173426e-08,0.999547891047577
sample_46,0.000470626653874147,0.999529343940426,2.94057002538874e-08
